,age,country,country-year,gdp_for_year ($),gdp_per_capita ($),generation,population,salaries,sex,suicides/100k pop,suicides_no,year
3203,25-34 years,Belarus,Belarus1991,18000000000.0,1899.0,Boomers,826400.0,65543.9,male,41.38,342.0,1991.0
3204,75+ years,Belarus,Belarus1991,18000000000.0,1899.0,G.I. Generation,325800.0,65543.9,female,22.1,72.0,1991.0
3205,15-24 years,Belarus,Belarus1991,18000000000.0,1899.0,Generation X,699100.0,65543.9,male,20.45,143.0,1991.0
3206,55-74 years,Belarus,Belarus1991,18000000000.0,1899.0,Silent,1136700.0,65543.9,female,15.4,175.0,1991.0
3207,35-54 years,Belarus,Belarus1991,18000000000.0,1899.0,Boomers,1294600.0,65543.9,female,9.35,121.0,1991.0
3208,25-34 years,Belarus,Belarus1991,18000000000.0,1899.0,Boomers,823200.0,65543.9,female,5.1,42.0,1991.0
3209,15-24 years,Belarus,Belarus1991,18000000000.0,1899.0,Generation X,702100.0,65543.9,female,4.27,30.0,1991.0
3210,5-14 years,Belarus,Belarus1991,18000000000.0,1899.0,Millenials,807600.0,65543.9,male,1.73,14.0,1991.0
3211,5-14 years,Belarus,Belarus1991,18000000000.0,1899.0,Millenials,781100.0,65543.9,female,0.26,2.0,1991.0
3212,35-54 years,Belarus,Belarus1992,17037037037.0,1780.0,Boomers,1236700.0,65543.9,male,68.33,845.0,1992.0
3213,55-74 years,Belarus,Belarus1992,17037037037.0,1780.0,Silent,774900.0,65543.9,male,59.23,459.0,1992.0
3214,75+ years,Belarus,Belarus1992,17037037037.0,1780.0,G.I. Generation,108800.0,65543.9,male,52.39,57.0,1992.0
3215,25-34 years,Belarus,Belarus1992,17037037037.0,1780.0,Boomers,812400.0,65543.9,male,48.87,397.0,1992.0
3216,15-24 years,Belarus,Belarus1992,17037037037.0,1780.0,Generation X,708800.0,65543.9,male,23.42,166.0,1992.0
3217,75+ years,Belarus,Belarus1992,17037037037.0,1780.0,G.I. Generation,314000.0,65543.9,female,21.66,68.0,1992.0
3218,55-74 years,Belarus,Belarus1992,17037037037.0,1780.0,Silent,1171400.0,65543.9,female,13.66,160.0,1992.0
3219,35-54 years,Belarus,Belarus1992,17037037037.0,1780.0,Boomers,1309400.0,65543.9,female,11.99,157.0,1992.0
3220,25-34 years,Belarus,Belarus1992,17037037037.0,1780.0,Boomers,811300.0,65543.9,female,6.16,50.0,1992.0
3221,15-24 years,Belarus,Belarus1992,17037037037.0,1780.0,Generation X,708000.0,65543.9,female,4.38,31.0,1992.0
3222,5-14 years,Belarus,Belarus1992,17037037037.0,1780.0,Millenials,821500.0,65543.9,male,3.65,30.0,1992.0
3223,5-14 years,Belarus,Belarus1992,17037037037.0,1780.0,Millenials,793700.0,65543.9,female,0.5,4.0,1992.0
3224,35-54 years,Belarus,Belarus1993,16280991736.0,1689.0,Boomers,1254600.0,65543.9,male,85.45,1072.0,1993.0
3225,55-74 years,Belarus,Belarus1993,16280991736.0,1689.0,Silent,792900.0,65543.9,male,72.77,577.0,1993.0
3226,75+ years,Belarus,Belarus1993,16280991736.0,1689.0,G.I. Generation,105900.0,65543.9,male,60.43,64.0,1993.0
3227,25-34 years,Belarus,Belarus1993,16280991736.0,1689.0,Boomers,789200.0,65543.9,male,57.53,454.0,1993.0
3228,15-24 years,Belarus,Belarus1993,16280991736.0,1689.0,Generation X,723100.0,65543.9,male,24.2,175.0,1993.0
3229,75+ years,Belarus,Belarus1993,16280991736.0,1689.0,G.I. Generation,310600.0,65543.9,female,20.61,64.0,1993.0
3230,55-74 years,Belarus,Belarus1993,16280991736.0,1689.0,Silent,1193700.0,65543.9,female,16.59,198.0,1993.0
3231,35-54 years,Belarus,Belarus1993,16280991736.0,1689.0,Boomers,1323600.0,65543.9,female,12.39,164.0,1993.0
3232,25-34 years,Belarus,Belarus1993,16280991736.0,1689.0,Boomers,794600.0,65543.9,female,7.3,58.0,1993.0
3233,15-24 years,Belarus,Belarus1993,16280991736.0,1689.0,Generation X,713800.0,65543.9,female,5.18,37.0,1993.0
3234,5-14 years,Belarus,Belarus1993,16280991736.0,1689.0,Millenials,834500.0,65543.9,male,2.16,18.0,1993.0
3235,5-14 years,Belarus,Belarus1993,16280991736.0,1689.0,Millenials,804600.0,65543.9,female,0.5,4.0,1993.0
3236,35-54 years,Belarus,Belarus1994,14932024169.0,1547.0,Boomers,1258800.0,65543.9,male,91.83,1156.0,1994.0
3237,55-74 years,Belarus,Belarus1994,14932024169.0,1547.0,Silent,797700.0,65543.9,male,84.12,671.0,1994.0
3238,75+ years,Belarus,Belarus1994,14932024169.0,1547.0,G.I. Generation,103700.0,65543.9,male,70.4,73.0,1994.0
3239,25-34 years,Belarus,Belarus1994,14932024169.0,1547.0,Boomers,773000.0,65543.9,male,59.25,458.0,1994.0
3240,15-24 years,Belarus,Belarus1994,14932024169.0,1547.0,Generation X,726000.0,65543.9,male,28.65,208.0,1994.0
3241,75+ years,Belarus,Belarus1994,14932024169.0,1547.0,G.I. Generation,307500.0,65543.9,female,22.44,69.0,1994.0
3242,55-74 years,Belarus,Belarus1994,14932024169.0,1547.0,Silent,1206100.0,65543.9,female,18.82,227.0,1994.0
3243,35-54 years,Belarus,Belarus1994,14932024169.0,1547.0,Boomers,1336000.0,65543.9,female,13.25,177.0,1994.0
3244,25-34 years,Belarus,Belarus1994,14932024169.0,1547.0,Boomers,784400.0,65543.9,female,7.65,60.0,1994.0
3245,15-24 years,Belarus,Belarus1994,14932024169.0,1547.0,Generation X,719700.0,65543.9,female,5.0,36.0,1994.0
3246,5-14 years,Belarus,Belarus1994,14932024169.0,1547.0,Millenials,833400.0,65543.9,male,1.92,16.0,1994.0
3247,5-14 years,Belarus,Belarus1994,14932024169.0,1547.0,Millenials,807600.0,65543.9,female,0.25,2.0,1994.0
3248,35-54 years,Belarus,Belarus1995,13972676841.0,1444.0,Boomers,1274300.0,65543.9,male,95.9,1222.0,1995.0
3249,55-74 years,Belarus,Belarus1995,13972676841.0,1444.0,Silent,805300.0,65543.9,male,86.8,699.0,1995.0
3250,75+ years,Belarus,Belarus1995,13972676841.0,1444.0,G.I. Generation,101000.0,65543.9,male,70.3,71.0,1995.0
3251,25-34 years,Belarus,Belarus1995,13972676841.0,1444.0,Generation X,743800.0,65543.9,male,63.86,475.0,1995.0
3252,15-24 years,Belarus,Belarus1995,13972676841.0,1444.0,Generation X,734800.0,65543.9,male,28.58,210.0,1995.0
3253,55-74 years,Belarus,Belarus1995,13972676841.0,1444.0,Silent,1220800.0,65543.9,female,16.14,197.0,1995.0
3254,75+ years,Belarus,Belarus1995,13972676841.0,1444.0,G.I. Generation,304600.0,65543.9,female,16.09,49.0,1995.0
3255,35-54 years,Belarus,Belarus1995,13972676841.0,1444.0,Boomers,1360000.0,65543.9,female,13.31,181.0,1995.0
3256,25-34 years,Belarus,Belarus1995,13972676841.0,1444.0,Generation X,762300.0,65543.9,female,6.69,51.0,1995.0
3257,15-24 years,Belarus,Belarus1995,13972676841.0,1444.0,Generation X,729900.0,65543.9,female,4.52,33.0,1995.0
3258,5-14 years,Belarus,Belarus1995,13972676841.0,1444.0,Millenials,829500.0,65543.9,male,1.45,12.0,1995.0
3259,5-14 years,Belarus,Belarus1995,13972676841.0,1444.0,Millenials,807300.0,65543.9,female,0.37,3.0,1995.0
3260,35-54 years,Belarus,Belarus1996,14756846154.0,1524.0,Boomers,1298200.0,91622.7,male,107.15,1391.0,1996.0
3261,55-74 years,Belarus,Belarus1996,14756846154.0,1524.0,Silent,809000.0,91622.7,male,106.18,859.0,1996.0
3262,75+ years,Belarus,Belarus1996,14756846154.0,1524.0,G.I. Generation,99700.0,91622.7,male,76.23,76.0,1996.0
3263,25-34 years,Belarus,Belarus1996,14756846154.0,1524.0,Generation X,722500.0,91622.7,male,71.7,518.0,1996.0
3264,15-24 years,Belarus,Belarus1996,14756846154.0,1524.0,Generation X,743800.0,91622.7,male,30.12,224.0,1996.0
3265,75+ years,Belarus,Belarus1996,14756846154.0,1524.0,G.I. Generation,302400.0,91622.7,female,18.85,57.0,1996.0
3266,55-74 years,Belarus,Belarus1996,14756846154.0,1524.0,Silent,1226000.0,91622.7,female,17.46,214.0,1996.0
3267,35-54 years,Belarus,Belarus1996,14756846154.0,1524.0,Boomers,1384800.0,91622.7,female,12.28,170.0,1996.0
3268,25-34 years,Belarus,Belarus1996,14756846154.0,1524.0,Generation X,741800.0,91622.7,female,7.95,59.0,1996.0
3269,15-24 years,Belarus,Belarus1996,14756846154.0,1524.0,Generation X,737300.0,91622.7,female,5.83,43.0,1996.0
3270,5-14 years,Belarus,Belarus1996,14756846154.0,1524.0,Millenials,821700.0,91622.7,male,1.58,13.0,1996.0
3271,5-14 years,Belarus,Belarus1996,14756846154.0,1524.0,Millenials,797600.0,91622.7,female,0.38,3.0,1996.0
3272,55-74 years,Belarus,Belarus1997,14128408566.0,1458.0,Silent,803300.0,87243.0,male,101.95,819.0,1997.0
3273,35-54 years,Belarus,Belarus1997,14128408566.0,1458.0,Boomers,1326100.0,87243.0,male,99.99,1326.0,1997.0
3274,75+ years,Belarus,Belarus1997,14128408566.0,1458.0,G.I. Generation,100500.0,87243.0,male,76.62,77.0,1997.0
3275,25-34 years,Belarus,Belarus1997,14128408566.0,1458.0,Generation X,709000.0,87243.0,male,68.69,487.0,1997.0
3276,15-24 years,Belarus,Belarus1997,14128408566.0,1458.0,Generation X,750600.0,87243.0,male,32.91,247.0,1997.0
3277,75+ years,Belarus,Belarus1997,14128408566.0,1458.0,G.I. Generation,305000.0,87243.0,female,19.34,59.0,1997.0
3278,55-74 years,Belarus,Belarus1997,14128408566.0,1458.0,Silent,1218800.0,87243.0,female,15.43,188.0,1997.0
3279,35-54 years,Belarus,Belarus1997,14128408566.0,1458.0,Boomers,1415500.0,87243.0,female,13.28,188.0,1997.0
3280,25-34 years,Belarus,Belarus1997,14128408566.0,1458.0,Generation X,726900.0,87243.0,female,10.32,75.0,1997.0
3281,15-24 years,Belarus,Belarus1997,14128408566.0,1458.0,Generation X,744100.0,87243.0,female,6.72,50.0,1997.0
3282,5-14 years,Belarus,Belarus1997,14128408566.0,1458.0,Millenials,809000.0,87243.0,male,0.99,8.0,1997.0
3283,5-14 years,Belarus,Belarus1997,14128408566.0,1458.0,Millenials,783300.0,87243.0,female,0.26,2.0,1997.0
3284,55-74 years,Belarus,Belarus1998,15222012660.0,1570.0,Silent,784600.0,100486.2,male,101.2,794.0,1998.0
3285,35-54 years,Belarus,Belarus1998,15222012660.0,1570.0,Boomers,1360700.0,100486.2,male,97.01,1320.0,1998.0
3286,75+ years,Belarus,Belarus1998,15222012660.0,1570.0,G.I. Generation,104000.0,100486.2,male,78.85,82.0,1998.0
3287,25-34 years,Belarus,Belarus1998,15222012660.0,1570.0,Generation X,698900.0,100486.2,male,73.11,511.0,1998.0
3288,15-24 years,Belarus,Belarus1998,15222012660.0,1570.0,Generation X,762700.0,100486.2,male,37.63,287.0,1998.0
3289,75+ years,Belarus,Belarus1998,15222012660.0,1570.0,G.I. Generation,316400.0,100486.2,female,24.65,78.0,1998.0
3290,55-74 years,Belarus,Belarus1998,15222012660.0,1570.0,Silent,1191300.0,100486.2,female,15.53,185.0,1998.0
3291,35-54 years,Belarus,Belarus1998,15222012660.0,1570.0,Boomers,1455000.0,100486.2,female,13.2,192.0,1998.0
3292,25-34 years,Belarus,Belarus1998,15222012660.0,1570.0,Generation X,716200.0,100486.2,female,7.12,51.0,1998.0
3293,15-24 years,Belarus,Belarus1998,15222012660.0,1570.0,Generation X,755800.0,100486.2,female,5.16,39.0,1998.0
3294,5-14 years,Belarus,Belarus1998,15222012660.0,1570.0,Millenials,787800.0,100486.2,male,1.52,12.0,1998.0
3295,5-14 years,Belarus,Belarus1998,15222012660.0,1570.0,Millenials,761400.0,100486.2,female,0.66,5.0,1998.0
3296,55-74 years,Belarus,Belarus1999,12138486532.0,1269.0,Silent,771900.0,78544.7,male,95.74,739.0,1999.0
3297,75+ years,Belarus,Belarus1999,12138486532.0,1269.0,G.I. Generation,106400.0,78544.7,male,85.53,91.0,1999.0
3298,35-54 years,Belarus,Belarus1999,12138486532.0,1269.0,Boomers,1378000.0,78544.7,male,85.49,1178.0,1999.0
3299,25-34 years,Belarus,Belarus1999,12138486532.0,1269.0,Generation X,692600.0,78544.7,male,79.41,550.0,1999.0
3300,15-24 years,Belarus,Belarus1999,12138486532.0,1269.0,Generation X,771500.0,78544.7,male,37.33,288.0,1999.0
3301,75+ years,Belarus,Belarus1999,12138486532.0,1269.0,G.I. Generation,318400.0,78544.7,female,20.73,66.0,1999.0
3302,55-74 years,Belarus,Belarus1999,12138486532.0,1269.0,Silent,1157900.0,78544.7,female,14.68,170.0,1999.0
3303,35-54 years,Belarus,Belarus1999,12138486532.0,1269.0,Boomers,1465100.0,78544.7,female,11.88,174.0,1999.0
3304,25-34 years,Belarus,Belarus1999,12138486532.0,1269.0,Generation X,697900.0,78544.7,female,9.6,67.0,1999.0
3305,15-24 years,Belarus,Belarus1999,12138486532.0,1269.0,Generation X,741400.0,78544.7,female,6.47,48.0,1999.0
3306,5-14 years,Belarus,Belarus1999,12138486532.0,1269.0,Millenials,748500.0,78544.7,male,2.94,22.0,1999.0
3307,5-14 years,Belarus,Belarus1999,12138486532.0,1269.0,Millenials,713600.0,78544.7,female,0.56,4.0,1999.0
3308,55-74 years,Belarus,Belarus2000,12736856828.0,1335.0,Silent,750602.0,67.2,male,96.06,721.0,2000.0
3309,35-54 years,Belarus,Belarus2000,12736856828.0,1335.0,Boomers,1403903.0,67.2,male,95.02,1334.0,2000.0
3310,75+ years,Belarus,Belarus2000,12736856828.0,1335.0,G.I. Generation,110565.0,67.2,male,80.5,89.0,2000.0
3311,25-34 years,Belarus,Belarus2000,12736856828.0,1335.0,Generation X,688963.0,67.2,male,73.73,508.0,2000.0
3312,15-24 years,Belarus,Belarus2000,12736856828.0,1335.0,Generation X,786483.0,67.2,male,38.91,306.0,2000.0
3313,75+ years,Belarus,Belarus2000,12736856828.0,1335.0,G.I. Generation,331579.0,67.2,female,20.21,67.0,2000.0
3314,55-74 years,Belarus,Belarus2000,12736856828.0,1335.0,Silent,1125001.0,67.2,female,15.29,172.0,2000.0
3315,35-54 years,Belarus,Belarus2000,12736856828.0,1335.0,Boomers,1497056.0,67.2,female,11.36,170.0,2000.0
3316,25-34 years,Belarus,Belarus2000,12736856828.0,1335.0,Generation X,693860.0,67.2,female,7.78,54.0,2000.0
3317,15-24 years,Belarus,Belarus2000,12736856828.0,1335.0,Generation X,754801.0,67.2,female,4.77,36.0,2000.0
3318,5-14 years,Belarus,Belarus2000,12736856828.0,1335.0,Millenials,717646.0,67.2,male,2.79,20.0,2000.0
3319,5-14 years,Belarus,Belarus2000,12736856828.0,1335.0,Millenials,683020.0,67.2,female,0.88,6.0,2000.0
3320,55-74 years,Belarus,Belarus2001,12354820144.0,1299.0,Silent,731902.0,88.5,male,89.9,658.0,2001.0
3321,35-54 years,Belarus,Belarus2001,12354820144.0,1299.0,Boomers,1423218.0,88.5,male,88.95,1266.0,2001.0
3322,75+ years,Belarus,Belarus2001,12354820144.0,1299.0,Silent,116090.0,88.5,male,70.63,82.0,2001.0
3323,25-34 years,Belarus,Belarus2001,12354820144.0,1299.0,Generation X,687861.0,88.5,male,69.35,477.0,2001.0
3324,15-24 years,Belarus,Belarus2001,12354820144.0,1299.0,Millenials,801574.0,88.5,male,39.05,313.0,2001.0
3325,75+ years,Belarus,Belarus2001,12354820144.0,1299.0,Silent,346664.0,88.5,female,21.06,73.0,2001.0
3326,55-74 years,Belarus,Belarus2001,12354820144.0,1299.0,Silent,1094844.0,88.5,female,14.8,162.0,2001.0
3327,35-54 years,Belarus,Belarus2001,12354820144.0,1299.0,Boomers,1522267.0,88.5,female,10.77,164.0,2001.0
3328,25-34 years,Belarus,Belarus2001,12354820144.0,1299.0,Generation X,691653.0,88.5,female,7.66,53.0,2001.0
3329,15-24 years,Belarus,Belarus2001,12354820144.0,1299.0,Millenials,768639.0,88.5,female,4.68,36.0,2001.0
3330,5-14 years,Belarus,Belarus2001,12354820144.0,1299.0,Millenials,681448.0,88.5,male,2.49,17.0,2001.0
3331,5-14 years,Belarus,Belarus2001,12354820144.0,1299.0,Millenials,647427.0,88.5,female,0.31,2.0,2001.0
3332,35-54 years,Belarus,Belarus2002,14594249023.0,1541.0,Boomers,1429098.0,105.7,male,88.38,1263.0,2002.0
3333,55-74 years,Belarus,Belarus2002,14594249023.0,1541.0,Silent,719837.0,105.7,male,84.32,607.0,2002.0
3334,25-34 years,Belarus,Belarus2002,14594249023.0,1541.0,Generation X,688769.0,105.7,male,74.77,515.0,2002.0
3335,75+ years,Belarus,Belarus2002,14594249023.0,1541.0,Silent,122862.0,105.7,male,64.3,79.0,2002.0
3336,15-24 years,Belarus,Belarus2002,14594249023.0,1541.0,Millenials,814826.0,105.7,male,36.33,296.0,2002.0
3337,75+ years,Belarus,Belarus2002,14594249023.0,1541.0,Silent,359673.0,105.7,female,19.18,69.0,2002.0
3338,55-74 years,Belarus,Belarus2002,14594249023.0,1541.0,Silent,1076366.0,105.7,female,13.84,149.0,2002.0
3339,35-54 years,Belarus,Belarus2002,14594249023.0,1541.0,Boomers,1533648.0,105.7,female,12.45,191.0,2002.0
3340,25-34 years,Belarus,Belarus2002,14594249023.0,1541.0,Generation X,691146.0,105.7,female,9.4,65.0,2002.0
3341,15-24 years,Belarus,Belarus2002,14594249023.0,1541.0,Millenials,780846.0,105.7,female,4.1,32.0,2002.0
3342,5-14 years,Belarus,Belarus2002,14594249023.0,1541.0,Millenials,642277.0,105.7,male,3.11,20.0,2002.0
3343,5-14 years,Belarus,Belarus2002,14594249023.0,1541.0,Millenials,609886.0,105.7,female,0.82,5.0,2002.0
3344,55-74 years,Belarus,Belarus2003,17827791321.0,1892.0,Silent,709699.0,122.2,male,94.27,669.0,2003.0
3345,35-54 years,Belarus,Belarus2003,17827791321.0,1892.0,Boomers,1427642.0,122.2,male,91.34,1304.0,2003.0
3346,75+ years,Belarus,Belarus2003,17827791321.0,1892.0,Silent,131935.0,122.2,male,81.1,107.0,2003.0
3347,25-34 years,Belarus,Belarus2003,17827791321.0,1892.0,Generation X,691958.0,122.2,male,78.04,540.0,2003.0
3348,15-24 years,Belarus,Belarus2003,17827791321.0,1892.0,Millenials,824213.0,122.2,male,34.58,285.0,2003.0
3349,75+ years,Belarus,Belarus2003,17827791321.0,1892.0,Silent,374617.0,122.2,female,20.82,78.0,2003.0
3350,55-74 years,Belarus,Belarus2003,17827791321.0,1892.0,Silent,1062435.0,122.2,female,16.66,177.0,2003.0
3351,35-54 years,Belarus,Belarus2003,17827791321.0,1892.0,Boomers,1536542.0,122.2,female,11.65,179.0,2003.0
3352,25-34 years,Belarus,Belarus2003,17827791321.0,1892.0,Generation X,692961.0,122.2,female,8.23,57.0,2003.0
3353,15-24 years,Belarus,Belarus2003,17827791321.0,1892.0,Millenials,789030.0,122.2,female,5.83,46.0,2003.0
3354,5-14 years,Belarus,Belarus2003,17827791321.0,1892.0,Millenials,605243.0,122.2,male,1.82,11.0,2003.0
3355,5-14 years,Belarus,Belarus2003,17827791321.0,1892.0,Millenials,574416.0,122.2,female,0.52,3.0,2003.0
3356,75+ years,Belarus,Belarus2007,45277399814.0,4898.0,Silent,157647.0,323.4,male,77.39,122.0,2007.0
3357,55-74 years,Belarus,Belarus2007,45277399814.0,4898.0,Silent,710519.0,323.4,male,71.22,506.0,2007.0
3358,35-54 years,Belarus,Belarus2007,45277399814.0,4898.0,Boomers,1399410.0,323.4,male,64.31,900.0,2007.0
3359,25-34 years,Belarus,Belarus2007,45277399814.0,4898.0,Generation X,723119.0,323.4,male,56.01,405.0,2007.0
3360,15-24 years,Belarus,Belarus2007,45277399814.0,4898.0,Millenials,801445.0,323.4,male,32.57,261.0,2007.0
3361,75+ years,Belarus,Belarus2007,45277399814.0,4898.0,Silent,424470.0,323.4,female,16.49,70.0,2007.0
3362,55-74 years,Belarus,Belarus2007,45277399814.0,4898.0,Silent,1054993.0,323.4,female,12.04,127.0,2007.0
3363,35-54 years,Belarus,Belarus2007,45277399814.0,4898.0,Boomers,1518188.0,323.4,female,10.74,163.0,2007.0
3364,25-34 years,Belarus,Belarus2007,45277399814.0,4898.0,Generation X,711481.0,323.4,female,7.87,56.0,2007.0
3365,15-24 years,Belarus,Belarus2007,45277399814.0,4898.0,Millenials,768164.0,323.4,female,4.82,37.0,2007.0
3366,5-14 years,Belarus,Belarus2007,45277399814.0,4898.0,Generation Z,500931.0,323.4,male,1.8,9.0,2007.0
3367,5-14 years,Belarus,Belarus2007,45277399814.0,4898.0,Generation Z,474089.0,323.4,female,0.63,3.0,2007.0
3368,75+ years,Belarus,Belarus2008,60763483146.0,6601.0,Silent,159724.0,406.4,male,82.02,131.0,2008.0
3369,35-54 years,Belarus,Belarus2008,60763483146.0,6601.0,Boomers,1395695.0,406.4,male,68.85,961.0,2008.0
3370,55-74 years,Belarus,Belarus2008,60763483146.0,6601.0,Silent,716132.0,406.4,male,67.17,481.0,2008.0
3371,25-34 years,Belarus,Belarus2008,60763483146.0,6601.0,Generation X,737364.0,406.4,male,50.86,375.0,2008.0
3372,15-24 years,Belarus,Belarus2008,60763483146.0,6601.0,Millenials,778552.0,406.4,male,30.06,234.0,2008.0
3373,75+ years,Belarus,Belarus2008,60763483146.0,6601.0,Silent,432516.0,406.4,female,14.57,63.0,2008.0
3374,35-54 years,Belarus,Belarus2008,60763483146.0,6601.0,Boomers,1514338.0,406.4,female,12.15,184.0,2008.0
3375,55-74 years,Belarus,Belarus2008,60763483146.0,6601.0,Silent,1059632.0,406.4,female,11.99,127.0,2008.0
3376,25-34 years,Belarus,Belarus2008,60763483146.0,6601.0,Generation X,723117.0,406.4,female,9.13,66.0,2008.0
3377,15-24 years,Belarus,Belarus2008,60763483146.0,6601.0,Millenials,745464.0,406.4,female,3.89,29.0,2008.0
3378,5-14 years,Belarus,Belarus2008,60763483146.0,6601.0,Generation Z,484885.0,406.4,male,1.03,5.0,2008.0
3379,5-14 years,Belarus,Belarus2008,60763483146.0,6601.0,Generation Z,458327.0,406.4,female,0.44,2.0,2008.0
3380,75+ years,Belarus,Belarus2009,49209523810.0,5366.0,Silent,159050.0,351.4,male,91.17,145.0,2009.0
3381,35-54 years,Belarus,Belarus2009,49209523810.0,5366.0,Boomers,1390214.0,351.4,male,64.95,903.0,2009.0
3382,55-74 years,Belarus,Belarus2009,49209523810.0,5366.0,Silent,726459.0,351.4,male,64.15,466.0,2009.0
3383,25-34 years,Belarus,Belarus2009,49209523810.0,5366.0,Generation X,754796.0,351.4,male,58.96,445.0,2009.0
3384,15-24 years,Belarus,Belarus2009,49209523810.0,5366.0,Millenials,749519.0,351.4,male,36.02,270.0,2009.0
3385,75+ years,Belarus,Belarus2009,49209523810.0,5366.0,Silent,434130.0,351.4,female,17.05,74.0,2009.0
3386,55-74 years,Belarus,Belarus2009,49209523810.0,5366.0,Silent,1073032.0,351.4,female,13.42,144.0,2009.0
3387,35-54 years,Belarus,Belarus2009,49209523810.0,5366.0,Boomers,1507662.0,351.4,female,10.94,165.0,2009.0
3388,25-34 years,Belarus,Belarus2009,49209523810.0,5366.0,Generation X,737605.0,351.4,female,10.03,74.0,2009.0
3389,15-24 years,Belarus,Belarus2009,49209523810.0,5366.0,Millenials,716695.0,351.4,female,6.28,45.0,2009.0
3390,5-14 years,Belarus,Belarus2009,49209523810.0,5366.0,Generation Z,473483.0,351.4,male,1.9,9.0,2009.0
3391,5-14 years,Belarus,Belarus2009,49209523810.0,5366.0,Generation Z,447324.0,351.4,female,0.67,3.0,2009.0
3392,75+ years,Belarus,Belarus2010,57222490769.0,6371.0,Silent,158977.0,408.7,male,72.34,115.0,2010.0
3393,35-54 years,Belarus,Belarus2010,57222490769.0,6371.0,Generation X,1353782.0,408.7,male,64.19,869.0,2010.0
3394,55-74 years,Belarus,Belarus2010,57222490769.0,6371.0,Silent,744533.0,408.7,male,61.52,458.0,2010.0
3395,25-34 years,Belarus,Belarus2010,57222490769.0,6371.0,Generation X,723856.0,408.7,male,52.77,382.0,2010.0
3396,15-24 years,Belarus,Belarus2010,57222490769.0,6371.0,Millenials,707657.0,408.7,male,33.91,240.0,2010.0
3397,75+ years,Belarus,Belarus2010,57222490769.0,6371.0,Silent,432426.0,408.7,female,14.34,62.0,2010.0
3398,35-54 years,Belarus,Belarus2010,57222490769.0,6371.0,Generation X,1483086.0,408.7,female,9.78,145.0,2010.0
3399,25-34 years,Belarus,Belarus2010,57222490769.0,6371.0,Generation X,715558.0,408.7,female,8.39,60.0,2010.0
3400,55-74 years,Belarus,Belarus2010,57222490769.0,6371.0,Silent,1092687.0,408.7,female,7.6,83.0,2010.0
3401,15-24 years,Belarus,Belarus2010,57222490769.0,6371.0,Millenials,668827.0,408.7,female,5.83,39.0,2010.0
3402,5-14 years,Belarus,Belarus2010,57222490769.0,6371.0,Generation Z,462298.0,408.7,male,1.08,5.0,2010.0
3403,5-14 years,Belarus,Belarus2010,57222490769.0,6371.0,Generation Z,437506.0,408.7,female,0.23,1.0,2010.0
3404,75+ years,Belarus,Belarus2011,61757788945.0,6902.0,Silent,161762.0,381.9,male,69.24,112.0,2011.0
3405,55-74 years,Belarus,Belarus2011,61757788945.0,6902.0,Boomers,755610.0,381.9,male,54.92,415.0,2011.0
3406,35-54 years,Belarus,Belarus2011,61757788945.0,6902.0,Generation X,1342175.0,381.9,male,54.39,730.0,2011.0
3407,25-34 years,Belarus,Belarus2011,61757788945.0,6902.0,Millenials,736247.0,381.9,male,46.18,340.0,2011.0
3408,15-24 years,Belarus,Belarus2011,61757788945.0,6902.0,Millenials,676797.0,381.9,male,27.33,185.0,2011.0
3409,75+ years,Belarus,Belarus2011,61757788945.0,6902.0,Silent,441193.0,381.9,female,15.64,69.0,2011.0
3410,35-54 years,Belarus,Belarus2011,61757788945.0,6902.0,Generation X,1470135.0,381.9,female,9.59,141.0,2011.0
3411,55-74 years,Belarus,Belarus2011,61757788945.0,6902.0,Boomers,1104192.0,381.9,female,8.24,91.0,2011.0
3412,25-34 years,Belarus,Belarus2011,61757788945.0,6902.0,Millenials,724263.0,381.9,female,5.8,42.0,2011.0
3413,15-24 years,Belarus,Belarus2011,61757788945.0,6902.0,Millenials,639397.0,381.9,female,5.63,36.0,2011.0
3414,5-14 years,Belarus,Belarus2011,61757788945.0,6902.0,Generation Z,459834.0,381.9,male,2.17,10.0,2011.0
3415,5-14 years,Belarus,Belarus2011,61757788945.0,6902.0,Generation Z,435715.0,381.9,female,0.23,1.0,2011.0
3416,75+ years,Belarus,Belarus2013,75527984234.0,8477.0,Silent,169369.0,570.0,male,73.8,125.0,2013.0
3417,55-74 years,Belarus,Belarus2013,75527984234.0,8477.0,Boomers,786132.0,570.0,male,47.83,376.0,2013.0
3418,35-54 years,Belarus,Belarus2013,75527984234.0,8477.0,Generation X,1316641.0,570.0,male,46.25,609.0,2013.0
3419,25-34 years,Belarus,Belarus2013,75527984234.0,8477.0,Millenials,759582.0,570.0,male,40.55,308.0,2013.0
3420,15-24 years,Belarus,Belarus2013,75527984234.0,8477.0,Millenials,609560.0,570.0,male,23.79,145.0,2013.0
3421,75+ years,Belarus,Belarus2013,75527984234.0,8477.0,Silent,464748.0,570.0,female,13.99,65.0,2013.0
3422,35-54 years,Belarus,Belarus2013,75527984234.0,8477.0,Generation X,1438609.0,570.0,female,7.72,111.0,2013.0
3423,55-74 years,Belarus,Belarus2013,75527984234.0,8477.0,Boomers,1130796.0,570.0,female,7.69,87.0,2013.0
3424,25-34 years,Belarus,Belarus2013,75527984234.0,8477.0,Millenials,739769.0,570.0,female,6.08,45.0,2013.0
